Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
0,0,0.066667,0,0,0,0.83333,0,0,0.26667,0.26667
0,0,1,0,1,0,0,0.13333,0,0.066667,0
0,0,1,0,0,0,0,0.066667,0,0,0
0,0,1,0,0,0,0,0,0.53333,0.51724,0
0.8,0,1,0,0,0,0.068966,0,0,0.17241,0
1,1,1,0,1,0.17241,0.27586,0,0,0.41379,0
0,1,0.068966,0.27586,0,1,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0.72414,0,0,0,0.55172,1
0,0,0,0,0,0,0,0,0,0,0.62069
0,0,0.2069,0,0,0,0,0.034483,0,0.65517,0
0,0,0,0,0.55172,0,0,1,0,0.68966,0
0,0,0.034483,0,0.13793,0,0,0,0,0.65517,0
0,0,0,0,0,0,0,0,0,0,0.10345
0,0,0,0,0.86207,0.14286,0,0,0,0.28571,0.42857
0,0,0,0,0.57143,1,0,0,0,0,0
0.57143,0,0,0,0,0.035714,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.28571,1,0,0,0,0,0,1,0,0
0.57143,0,0,0,0,0,0,0,0,0,0
0,0,0,0.28571,0,0,0,0,0,0,0
0,0,0.28571,0,0,0,0,0,0.71429,0,0
0,0,1,0.28571,0,0,0,0,1,0,0
0,0,0.5,0,0,0,0,0,1,1,0
0.57143,0,0.14286,0.17857,0,0,0,0,0,0,0.14286
0,0,0,0.28571,0,0,0,0.57143,0,0.42857,0.57143
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.32143,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.28571,0,0,0,0,0,0,0,0
0,0,0,0,0.35714,0,0,0.071429,0,0,0
0,0,0.14286,0,0.35714,0,0,0,0,0.21429,0
0,0,0,0,0,0,0,0,0,0.82143,0
0,0.28571,0,0,0,0,0,0,0,0.5,0
0,0,0.42857,0,0,0,0,0,0.78571,1,0.28571
0,0,0,0,0,1,0,0,0.78571,1,0
